,staff,master_ai_id,activity_number,permit_no,type_action_code,owner,company_name,received_date,incomplete_date,complete_date,issue_due_date,issue_revised_date,issue_date,deny_date,withdraw_date,close_date,spud_date,status,well_api,well_name,ogrid_name,well_latitude,well_longitude,facility_name,Facility Type,cluster,facility_latitude,facility_longitude,Nox TPY,CO TPY,VOC TPY,PM10 TPY,SO2 TPY,potential_violation,binary_violation
485,Adam Ullom,36071,PRN20150001,6540,Notice of Intent ,Enduring Resources IV LLC,WPX - W Lybrook UT 735/736/737/764/765/766,2015-08-03 12:54:00,,,9/2/2015 0:00,9/2/2015 0:00,2015-08-19 14:33:00,,,,2017-04-05 00:00:00,Active,30-045-35801,W LYBROOK UNIT #735H,"ENDURING RESOURCES, LLC",36.189178999999996,-107.77231,Enduring Resources - W Lybrook UT 765V,O&G-Production Facility,9.0,36.189192,-107.772444,14.0,24.1,79.7,3.1,,No,0
494,Greg Tickle,36084,PRN20150001,6547,Notice of Intent ,Dugan Production Corp,Dugan - Calgary Battery,2015-08-04 11:23:00,,,9/3/2015 0:00,9/3/2015 0:00,2015-09-03 09:18:00,,,,2012-08-03 00:00:00,Active,30-045-35319,GOOD TIMES A06 2310 #001H,DUGAN PRODUCTION CORP,36.2601738,-107.9289246,Dugan - Calgary Battery,O&G-Tank Battery/Bulk Fuel Storage,22.0,36.260958,-107.930497,1.7,2.8,49.7,,,Yes,1
497,Kirby Olson,36108,PRN20150001,6558,Notice of Intent ,"Logos Resources II, LLC",Energen Resources - Chaco 23-08-3 No 1H/2H,2015-08-10 09:03:00,,,9/9/2015 0:00,9/9/2015 0:00,2015-08-21 12:51:00,,,,2015-11-08 00:00:00,Active,30-045-35647,CHACO 23 08 03 #001H,"LOGOS OPERATING, LLC",36.258023,-107.660784,LOGOS Operating - Chaco Well Pad,O&G-Production Facility,66.0,36.258083,-107.660778,10.6,23.29,19.53,,,No,0
498,Kirby Olson,36108,PRN20150001,6558,Notice of Intent ,"Logos Resources II, LLC",Energen Resources - Chaco 23-08-3 No 1H/2H,2015-08-10 09:03:00,,,9/9/2015 0:00,9/9/2015 0:00,2015-08-21 12:51:00,,,,2015-11-02 00:00:00,Active,30-045-35646,CHACO 23 08 03 #002H,"LOGOS OPERATING, LLC",36.2579,-107.660785,LOGOS Operating - Chaco Well Pad,O&G-Production Facility,66.0,36.258083,-107.660778,10.6,23.29,19.53,,,No,0
507,Kirby Olson,36109,PRN20150001,6559,Notice of Intent ,"Logos Operating, LLC",Energen Resources - Crow Mesa 24-08-02 No 3H/4H,2015-08-10 09:09:00,,,9/9/2015 0:00,9/9/2015 0:00,2015-08-21 12:59:00,,,,2015-08-10 00:00:00,Active,30-045-35641,CROW MESA 24 08 2 #004H,"LOGOS OPERATING, LLC",36.339208,-107.64505600000001,LOGOS Operating - Crow Mesa 24-08-02 No3H 4H,O&G-Production Facility,76.0,36.339194,-107.645056,2.26,4.03,7.44,,,Yes,1
508,Kirby Olson,36109,PRN20150001,6559,Notice of Intent ,"Logos Operating, LLC",Energen Resources - Crow Mesa 24-08-02 No 3H/4H,2015-08-10 09:09:00,,,9/9/2015 0:00,9/9/2015 0:00,2015-08-21 12:59:00,,,,2015-08-13 00:00:00,Active,30-045-35642,CROW MESA 24 08 2 #003H,"LOGOS OPERATING, LLC",36.339345,-107.645048,LOGOS Operating - Crow Mesa 24-08-02 No3H 4H,O&G-Production Facility,76.0,36.339194,-107.645056,2.26,4.03,7.44,,,Yes,1
515,Rhonda Romero,36213,PRN20150001,6605,Notice of Intent ,Enduring Resources IV LLC,WPX - W Lybrook UT 701/702,2015-09-14 09:32:00,,,10/14/2015 0:00,10/14/2015 0:00,2015-09-28 13:08:00,,,,2017-02-09 00:00:00,Active,30-045-35726,W LYBROOK UNIT #702H,"ENDURING RESOURCES, LLC",36.235459000000006,-107.693273,"Enduring Resources - W Lybrook UT 701,702",O&G-Production Facility,51.0,36.235517,-107.693158,21.0,24.5,25.5,2.9,,No,0
516,Rhonda Romero,36213,PRN20150001,6605,Notice of Intent ,Enduring Resources IV LLC,WPX - W Lybrook UT 701/702,2015-09-14 09:32:00,,,10/14/2015 0:00,10/14/2015 0:00,2015-09-28 13:08:00,,,,2017-02-07 00:00:00,Active,30-045-35725,W LYBROOK UNIT #701H,"ENDURING RESOURCES, LLC",36.235517,-107.69315700000001,"Enduring Resources - W Lybrook UT 701,702",O&G-Production Facility,51.0,36.235517,-107.693158,21.0,24.5,25.5,2.9,,No,0
522,Mary Gerhart,36366,PRN20150001,6651,Notice of Intent ,Hilcorp Energy Company,ConocoPhillips-Horton 1A-1B-2 Wellsite,2015-10-19 16:01:00,,,11/18/2015 0:00,11/18/2015 0:00,2015-11-18 10:55:00,,,,2011-11-09 00:00:00,Active,30-045-35252,HORTON #001B,HILCORP ENERGY COMPANY,36.938213299999994,-107.95335390000001,"Hilcorp - Horton 1A,1B2 Wellsite",O&G-Production Facility,64.0,36.938222,-107.95336100000002,11.3,19.1,8.0,,,Yes,1
529,Greg Tickle,36461,PRN20150001,6681,Notice of Intent ,Enduring Resources IV LLC,"WPX - W. Lybrook UT Nos. 703H, 704H, and 744H",2015-11-23 10:18:00,,,1/23/2016 0:00,1/23/2016 0:00,2015-12-22 10:08:00,,,,2016-12-15 00:00:00,Active,30-045-35809,W LYBROOK UNIT #711H,"ENDURING RESOURCES, LLC",36.237645,-107.709055,"Enduring Resources - W. Lybrook UT Nos. 703, 704, 743, 744",O&G-Production Facility,39.0,36.237636,-107.709122,16.7,24.6,87.6,,,No,0
